value,method
11.578813,normal
11.504802,normal
11.418973,normal
11.33063,normal
11.244386,normal
11.167916,normal
11.092517,normal
11.020189,normal
11.125502,normal
11.560485,normal
11.565764,normal
11.51044,normal
11.433638,normal
11.341374,normal
11.248469,normal
11.158407,normal
11.077188,normal
11.007206,normal
11.221481,normal
11.549685,normal
11.542322,normal
11.480764,normal
11.407422,normal
11.326449,normal
11.232748,normal
11.141491,normal
11.058094,normal
10.99684,normal
11.417322,normal
11.533007,normal
11.496694,normal
11.427423,normal
11.351223,normal
11.270367,normal
11.186085,normal
11.09609,normal
11.014618,normal
11.180533,normal
11.517478,normal
11.514919,normal
11.457296,normal
11.387543,normal
11.31179,normal
11.230794,normal
11.149096,normal
11.072769,normal
10.998563,normal
11.320238,normal
11.568131,normal
11.528442,normal
11.457035,normal
11.38523,normal
11.309791,normal
11.232971,normal
11.154265,normal
11.077611,normal
11.005366,normal
11.263027,normal
11.605594,normal
11.574827,normal
11.501075,normal
11.417347,normal
11.334796,normal
11.256851,normal
11.178704,normal
11.102533,normal
11.028401,normal
11.07709,normal
11.575161,normal
11.590549,normal
11.526143,normal
11.441079,normal
11.352215,normal
11.263314,normal
11.182623,normal
11.107316,normal
11.035544,normal
11.037553,normal
11.534954,normal
11.578798,normal
11.530148,normal
11.458156,normal
11.370414,normal
11.27341,normal
11.180965,normal
11.093859,normal
11.020706,normal
11.12113,normal
11.527791,normal
11.540702,normal
11.483624,normal
11.409381,normal
11.327598,normal
11.242435,normal
11.145341,normal
11.058515,normal
10.99076,normal
11.414886,normal
11.547769,normal
11.511807,normal
11.445624,normal
11.369747,normal
11.287784,normal
11.203661,normal
11.121667,normal
11.038233,normal
11.05949,normal
11.515054,normal
11.5329,normal
11.479775,normal
11.410186,normal
11.333673,normal
11.252578,normal
11.170123,normal
11.089908,normal
11.014425,normal
11.177328,normal
11.567569,normal
11.542048,normal
11.468504,normal
11.388444,normal
11.309486,normal
11.230757,normal
11.151918,normal
11.073601,normal
11.000971,normal
11.307055,normal
11.607555,normal
11.576513,normal
11.496528,normal
11.409059,normal
11.320194,normal
11.236821,normal
11.158817,normal
11.082145,normal
11.009279,normal
11.234043,normal
11.584458,normal
11.567549,normal
11.499163,normal
11.407921,normal
11.312233,normal
11.220505,normal
11.136762,normal
11.062156,normal
10.992188,normal
11.352958,normal
11.579175,normal
11.550772,normal
11.484541,normal
11.40442,normal
11.311683,normal
11.216303,normal
11.126795,normal
11.045111,normal
11.009836,normal
11.472672,normal
11.553578,normal
11.509105,normal
11.43797,normal
11.357187,normal
11.27078,normal
11.178474,normal
11.087974,normal
11.006121,normal
11.24295,normal
11.554085,normal
11.539786,normal
11.479203,normal
11.40404,normal
11.323442,normal
11.238111,normal
11.155296,normal
11.071051,normal
10.991848,normal
11.39626,normal
11.550395,normal
11.514838,normal
11.449577,normal
11.373513,normal
11.293845,normal
11.211247,normal
11.127922,normal
11.049395,normal
11.000582,normal
11.486217,normal
11.565621,normal
11.507595,normal
11.430606,normal
11.353655,normal
11.272117,normal
11.190585,normal
11.107956,normal
11.031124,normal
11.064257,normal
11.57067,normal
11.580755,normal
11.511705,normal
11.426765,normal
11.344692,normal
11.264571,normal
11.183835,normal
11.105752,normal
11.030121,normal
11.077227,normal
11.573597,normal
11.58737,normal
11.516165,normal
11.427252,normal
11.337297,normal
11.249784,normal
11.171038,normal
11.092764,normal
11.020239,normal
11.132934,normal
11.571362,normal
11.5718,normal
11.51098,normal
11.427792,normal
11.332469,normal
11.237964,normal
11.147554,normal
11.067889,normal
10.99679,normal
11.313753,normal
11.548595,normal
11.524216,normal
11.459809,normal
11.383027,normal
11.299783,normal
11.210134,normal
11.117234,normal
11.033892,normal
11.068262,normal
11.504869,normal
11.531911,normal
11.481159,normal
11.413254,normal
11.335488,normal
11.2534,normal
11.170717,normal
11.091133,normal
11.008677,normal
11.220003,normal
11.541004,normal
11.518283,normal
11.456069,normal
11.385389,normal
11.308918,normal
11.228932,normal
11.148143,normal
11.069739,normal
10.996353,normal
11.309401,normal
11.563341,normal
11.520943,normal
11.447008,normal
11.371466,normal
11.2952,normal
11.216774,normal
11.136584,normal
11.061057,normal
10.99107,normal
11.40043,normal
11.583198,normal
11.532395,normal
11.452113,normal
11.369008,normal
11.290356,normal
11.211959,normal
11.134468,normal
11.059909,normal
10.991128,normal
11.389031,normal
11.589885,normal
11.556558,normal
11.481887,normal
11.390963,normal
11.297847,normal
11.208184,normal
11.127569,normal
11.055307,normal
10.990839,normal
11.392797,normal
11.554789,normal
11.520324,normal
11.451357,normal
11.371882,normal
11.27767,normal
11.183035,normal
11.094779,normal
11.017551,normal
11.156618,normal
11.5182,normal
11.5163,normal
11.455178,normal
11.377461,normal
11.296047,normal
11.20269,normal
11.108971,normal
11.027527,normal
11.103312,normal
11.514669,normal
11.531078,normal
11.475797,normal
11.405332,normal
11.32546,normal
11.24294,normal
11.160992,normal
11.079636,normal
10.99682,normal
11.31381,normal
11.541264,normal
11.51022,normal
11.447639,normal
11.37275,normal
11.295047,normal
11.214509,normal
11.132545,normal
11.055671,normal
10.988697,normal
11.421889,normal
11.581461,normal
11.527592,normal
11.447141,normal
11.365509,normal
11.286968,normal
11.208227,normal
11.128913,normal
11.052928,normal
10.994998,normal
11.471139,normal
11.593855,normal
11.535136,normal
11.45294,normal
11.363943,normal
11.27915,normal
11.199183,normal
11.121422,normal
11.047734,normal
10.992118,normal
11.462265,normal
11.584909,normal
11.543848,normal
11.46333,normal
11.369383,normal
11.277958,normal
11.19121,normal
11.113133,normal
11.041913,normal
11.003069,normal
11.495191,normal
11.586114,normal
11.543162,normal
11.473986,normal
11.389166,normal
11.291976,normal
11.197952,normal
11.113169,normal
11.037686,normal
11.016301,normal
11.475676,normal
11.54344,normal
11.498795,normal
11.427956,normal
11.349332,normal
11.265162,normal
11.171529,normal
11.084131,normal
11.003593,normal
11.264261,normal
11.543164,normal
11.525371,normal
11.465599,normal
11.391857,normal
11.314597,normal
11.232131,normal
11.150723,normal
11.071068,normal
10.99236,normal
11.354423,normal
11.544517,normal
11.5098,normal
11.448481,normal
11.377423,normal
11.300677,normal
11.220572,normal
11.140899,normal
11.065101,normal
10.994176,normal
11.358325,normal
11.577454,normal
11.535315,normal
11.465808,normal
11.395273,normal
11.319583,normal
11.2402,normal
11.160757,normal
11.083076,normal
11.009873,normal
11.206765,normal
11.570123,normal
11.545087,normal
11.474899,normal
11.402668,normal
11.328085,normal
11.251048,normal
11.171581,normal
11.094529,normal
11.021766,normal
11.117091,normal
11.575744,normal
11.569618,normal
11.501492,normal
11.421413,normal
11.344953,normal
11.268879,normal
11.193574,normal
11.115844,normal
11.040243,normal
11.018814,normal
11.531516,normal
11.592455,normal
11.530893,normal
11.4492,normal
11.362248,normal
11.278919,normal
11.199909,normal
11.122851,normal
11.051632,normal
10.992846,normal
11.437135,normal
11.574391,normal
11.533434,normal
11.450198,normal
11.359399,normal
11.268153,normal
11.18252,normal
11.106277,normal
11.035584,normal
11.029436,normal
11.523363,normal
11.571949,normal
11.523571,normal
11.45139,normal
11.359028,normal
11.265794,normal
11.174726,normal
11.093131,normal
11.022114,normal
11.112866,normal
11.543292,normal
11.555783,normal
11.502077,normal
11.430913,normal
11.350789,normal
11.26351,normal
11.171814,normal
11.084183,normal
11.004087,normal
11.273813,normal
11.541873,normal
11.52174,normal
11.458377,normal
11.382445,normal
11.300936,normal
11.215421,normal
11.124786,normal
11.039112,normal
11.041472,normal
11.482787,normal
11.52267,normal
11.473105,normal
11.403624,normal
11.326129,normal
11.244894,normal
11.162363,normal
11.083216,normal
11.008769,normal
11.231923,normal
11.574832,normal
11.542923,normal
11.47297,normal
11.401166,normal
11.323772,normal
11.244651,normal
11.163143,normal
11.085192,normal
11.011357,normal
11.215473,normal
11.58555,normal
11.557174,normal
11.487188,normal
11.404668,normal
11.326345,normal
11.248962,normal
11.169029,normal
11.091033,normal
11.01571,normal
11.170957,normal
11.598292,normal
11.578262,normal
11.506409,normal
11.422247,normal
11.340046,normal
11.262409,normal
11.185167,normal
11.108839,normal
11.035023,normal
11.042747,normal
11.543116,normal
11.579657,normal
11.517978,normal
11.432717,normal
11.342814,normal
11.253973,normal
11.174839,normal
11.100698,normal
11.028691,normal
11.057016,normal
11.536883,normal
11.562552,normal
11.511304,normal
11.4324,normal
11.338505,normal
11.24665,normal
11.159782,normal
11.084203,normal
11.015926,normal
11.151244,normal
11.559746,normal
11.566641,normal
11.510073,normal
11.437219,normal
11.354378,normal
11.259069,normal
11.169326,normal
11.084,normal
11.010593,normal
